stock_code,name,sector,subsector
005930,삼성전자,반도체,반도체/분야
000660,SK하이닉스,반도체,반도체/분야
373220,LG에너지솔루션,자동차,자동차/전기차
207940,삼성바이오로직스,바이오,바이오/CMO
105560,KB금융,금융,금융/은행
012450,한화에어로스페이스,기계,기계/방위산업
005380,현대차,자동차,자동차/제조사
034020,두산에너빌리티,에너지,에너지/발전
000270,기아,자동차,자동차/제조사
068270,셀트리온,바이오,바이오/의약품
329180,HD현대중공업,조선,조선/선박
035420,NAVER,IT,IT/인터넷
055550,신한지주,금융,금융/은행
028260,삼성물산,유통운수,유통운수/유통
042660,한화오션,조선,조선/선박
012330,현대모비스,자동차,자동차/부품
005490,POSCO홀딩스,금속,금속/철강
086790,하나금융지주,금융,금융/은행
032830,삼성생명,금융,금융/보험
011200,HMM,유통운수,유통운수/운수
009540,HD한국조선해양,조선,조선/선박
196170,알테오젠,바이오,바이오/의약품
015760,한국전력,에너지,에너지/발전
035720,카카오,IT,IT/인터넷
051910,LG화학,화학,화학/NCC
064350,현대로템,기계,기계/방위산업
000810,삼성화재,금융,금융/보험
138040,메리츠금융지주,금융,금융/증권
402340,SK스퀘어,지주사,지주사
316140,우리금융지주,금융,금융/은행
267260,HD현대일렉트릭,에너지,에너지/전기
096770,SK이노베이션,화학,화학/NCC
010140,삼성중공업,조선,조선/선박
010130,고려아연,금속,금속/비철
033780,KT&G,음식료,음식료/기호식품
259960,크래프톤,레저,레저/게임
024110,기업은행,금융,금융/은행
006400,삼성SDI,자동차,자동차/전기차
034730,SK,지주사,지주사
030200,KT,통신,통신/사업자
323410,카카오뱅크,금융,금융/은행
079550,LIG넥스원,기계,기계/방위산업
066570,LG전자,전자,전자/제품
003550,LG,지주사,지주사
018260,삼성에스디에스,IT,IT/서비스
017670,SK텔레콤,통신,통신/사업자
267250,HD현대,지주사,지주사
003670,포스코퓨처엠,자동차,자동차/전기차
006800,미래에셋증권,금융,금융/증권
247540,에코프로비엠,자동차,자동차/전기차
086280,현대글로비스,유통운수,유통운수/운수
272210,한화시스템,기계,기계/방위산업
352820,하이브,엔터,엔터/플랫폼
298040,효성중공업,에너지,에너지/전기
003230,삼양식품,음식료,음식료/기호식품
009150,삼성전기,전자,전자/제품
000100,유한양행,제약,제약/전문의약품
047050,포스코인터내셔널,유통운수,유통운수/유통
005830,DB손해보험,금융,금융/보험
000150,두산,지주사,지주사
047810,한국항공우주,기계,기계/방위산업
003490,대한항공,유통운수,유통운수/운수
443060,HD현대마린솔루션,조선,조선/기자재
377300,카카오페이,IT,IT/결제
010120,LS ELECTRIC,에너지,에너지/전기
071050,한국금융지주,금융,금융/증권
042700,한미반도체,반도체,반도체/장비
010620,HD현대미포,조선,조선/선박
326030,SK바이오팜,제약,제약/전문의약품
090430,아모레퍼시픽,건강미용,건강미용/화장품
021240,코웨이,생활,생활/가정용품
180640,한진칼,지주사,지주사
000720,현대건설,건설,건설/건설
000880,한화,지주사,지주사
010950,S-Oil,화학,화학/NCC
064400,LG씨엔에스,IT,IT/서비스
086520,에코프로,지주사,지주사
005940,NH투자증권,금융,금융/증권
009830,한화솔루션,에너지,에너지/발전
087010,펩트론,바이오,바이오/의약품
028300,HLB,의료기기,의료기기/기기
278470,에이피알,의료기기,의료기기/기기
016360,삼성증권,금융,금융/증권
032640,LG유플러스,통신,통신/사업자
029780,삼성카드,금융,금융/기타
214450,파마리서치,의료기기,의료기기/기기
161390,한국타이어앤테크놀로지,자동차,자동차/부품
039490,키움증권,금융,금융/증권
006260,LS,지주사,지주사
000250,삼천당제약,제약,제약/전문의약품
241560,두산밥캣,기계,기계/건설용
141080,리가켐바이오,바이오,바이오/의약품
277810,레인보우로보틱스,기계,기계/자동화
051900,LG생활건강,건강미용,건강미용/화장품
251270,넷마블,레저,레저/게임
034220,LG디스플레이,디스플레이,디스플레이/제조사
004020,현대제철,금속,금속/철강
138930,BNK금융지주,금융,금융/은행
078930,GS,지주사,지주사
028050,삼성E&A,건설,건설/건설
175330,JB금융지주,금융,금융/은행
001040,CJ,지주사,지주사
103140,풍산,금속,금속/비철
007660,이수페타시스,전자,전자/제품
271560,오리온,음식료,음식료/기호식품
307950,현대오토에버,IT,IT/서비스
036570,엔씨소프트,레저,레저/게임
036460,한국가스공사,에너지,에너지/가스
035250,강원랜드,레저,레저/카지노
145020,휴젤,바이오,바이오/보톡스
298380,에이비엘바이오,바이오,바이오/의약품
011790,SKC,화학,화학/NCC
454910,두산로보틱스,기계,기계/자동화
022100,포스코DX,기계,기계/자동화
214150,클래시스,의료기기,의료기기/기기
097950,CJ제일제당,음식료,음식료/식료품
302440,SK바이오사이언스,바이오,바이오/의약품
450080,에코프로머티,자동차,자동차/전기차
011070,LG이노텍,스마트폰,스마트폰/부품
128940,한미약품,제약,제약/전문의약품
058470,리노공업,반도체,반도체/소재
008930,한미사이언스,지주사,지주사
950160,코오롱티슈진,바이오,바이오/의약품
052690,한전기술,에너지,에너지/발전
011780,금호석유화학,화학,화학/NCC
002380,KCC,화학,화학/제품
017800,현대엘리베이터,기계,기계/산업용
